Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Platinum,148,블리츠크랭크,서폿,48.97%,8.65%,32.92%,"181,105"
Platinum,149,자크,정글,49.17%,4.15%,1.55%,"86,858"
Platinum,150,카르마,탑,50.90%,0.87%,4.92%,"18,259"
Platinum,151,그레이브즈,정글,48.75%,6.14%,7.19%,"128,583"
Platinum,152,올라프,탑,50.28%,1.13%,0.65%,"23,707"
Platinum,153,갈리오,서폿,50.72%,1.12%,5.39%,"23,354"
Platinum,154,자야,바텀,50.05%,3.38%,0.50%,"70,841"
Platinum,155,카직스,정글,49.27%,3.64%,0.88%,"76,167"
Platinum,156,모르가나,정글,50.24%,0.51%,13.22%,"10,617"
Platinum,157,트런들,탑,49.37%,3.13%,1.23%,"65,608"
Platinum,158,루시안,바텀,49.73%,4.93%,1.11%,"103,174"
Platinum,159,탈론,정글,49.58%,1.76%,1.20%,"36,897"
Platinum,160,유미,서폿,49.13%,7.66%,4.00%,"160,379"
Platinum,161,트위스티드 페이트,미드,49.53%,2.33%,0.17%,"48,879"
Platinum,162,잔나,서폿,50.49%,1.00%,0.11%,"21,034"
Platinum,163,스카너,정글,49.01%,3.99%,5.03%,"83,596"
Platinum,164,그라가스,탑,49.32%,2.59%,1.09%,"54,209"
Platinum,165,제이스,미드,49.74%,1.14%,8.65%,"23,914"
Platinum,166,잭스,정글,49.58%,1.19%,2.93%,"24,915"
Platinum,167,트위치,바텀,50.00%,2.21%,0.99%,"46,206"
Platinum,168,블라디미르,탑,49.47%,2.45%,1.16%,"51,268"
Platinum,169,판테온,탑,49.71%,1.90%,1.37%,"39,847"
Platinum,170,아무무,서폿,50.34%,0.84%,1.10%,"17,664"
Platinum,171,르블랑,미드,48.61%,6.52%,30.56%,"136,564"
Platinum,172,판테온,서폿,49.63%,3.04%,1.37%,"63,752"
Platinum,173,탈리야,미드,49.69%,0.98%,0.28%,"20,537"
Platinum,174,쉔,탑,49.36%,2.73%,0.25%,"57,203"
Platinum,175,티모,정글,49.23%,1.40%,20.43%,"29,346"
Platinum,176,말자하,탑,50.44%,0.60%,4.71%,"12,521"
Platinum,177,사일러스,탑,49.45%,1.62%,17.54%,"34,009"
Platinum,178,트린다미어,탑,49.58%,1.39%,0.49%,"29,134"
Platinum,179,조이,서폿,50.15%,0.66%,0.73%,"13,818"
Platinum,180,자이라,정글,49.33%,1.40%,3.44%,"29,322"
Platinum,181,하이머딩거,서폿,50.47%,0.61%,4.09%,"12,803"
Platinum,182,요네,탑,48.39%,6.62%,13.08%,"138,677"
Platinum,183,뽀삐,정글,49.29%,1.12%,5.75%,"23,409"
Platinum,184,바드,서폿,49.62%,1.34%,0.10%,"28,144"
Platinum,185,자크,서폿,50.07%,0.76%,1.55%,"15,975"
Platinum,186,우디르,정글,49.42%,1.10%,0.29%,"23,127"
Platinum,187,에코,정글,48.80%,2.68%,0.60%,"56,069"
Platinum,188,제드,미드,48.32%,6.33%,14.87%,"132,514"
Platinum,189,피오라,탑,49.15%,2.60%,2.24%,"54,504"
Platinum,190,바루스,탑,49.83%,0.71%,1.46%,"14,841"
Platinum,191,제리,바텀,49.54%,3.24%,0.30%,"67,752"
Platinum,192,니코,서폿,49.23%,3.27%,2.67%,"68,435"
Platinum,193,조이,미드,48.86%,2.24%,0.73%,"46,840"
Platinum,194,스몰더,바텀,49.44%,2.83%,0.66%,"59,256"
Platinum,195,킨드레드,정글,48.62%,2.62%,0.60%,"54,864"
Platinum,196,세라핀,서폿,48.92%,4.56%,0.55%,"95,483"
Platinum,197,라칸,서폿,49.31%,2.91%,0.57%,"60,965"
Platinum,198,퀸,탑,49.46%,0.83%,0.64%,"17,433"
Platinum,199,카밀,탑,49.01%,1.69%,0.36%,"35,391"
Platinum,200,스웨인,탑,49.36%,0.82%,2.77%,"17,130"
Platinum,201,흐웨이,서폿,49.77%,0.83%,5.30%,"17,289"
Platinum,202,벨베스,정글,48.93%,1.07%,0.32%,"22,506"
Platinum,203,사미라,바텀,49.16%,4.35%,5.08%,"91,125"
Platinum,204,드레이븐,바텀,49.29%,1.96%,1.56%,"41,072"
Platinum,205,야스오,바텀,49.84%,0.72%,15.87%,"15,075"
Platinum,206,암베사,탑,48.24%,4.08%,7.59%,"85,493"
Platinum,207,오로라,미드,48.05%,4.98%,5.34%,"104,235"
Platinum,208,쉔,서폿,49.46%,1.02%,0.25%,"21,393"
Platinum,209,그웬,탑,48.59%,1.93%,1.27%,"40,512"
Platinum,210,카서스,정글,48.25%,2.09%,2.44%,"43,812"
Platinum,211,잭스,탑,48.06%,4.44%,2.93%,"93,038"
Platinum,212,이블린,정글,48.55%,1.57%,0.74%,"32,923"
Platinum,213,럼블,탑,48.29%,2.24%,1.15%,"46,987"
Platinum,214,키아나,미드,48.89%,0.97%,0.15%,"20,358"
Platinum,215,직스,미드,49.16%,0.53%,0.89%,"11,039"
Platinum,216,빅토르,탑,48.97%,0.73%,20.44%,"15,278"
Platinum,217,카타리나,미드,48.22%,3.92%,1.59%,"82,149"
