티어,닉네임,주챔피언,게임횟수,승률,포지션,포지션게임횟수
emerald,Legacy #KR2,바루스,14 게임,50 %,원딜,67
diamond,Faker #KO1,세라핀,9 게임,56 %,원딜,44
diamond,ssuvilove #KR2,리 신,25 게임,64 %,정글,42
diamond,MuteAll and Play #KR1,렐,23 게임,70 %,서폿,46
diamond,Lem #KR1,애니비아,48 게임,52 %,미드,48
diamond,니코코 #모코코,아리,22 게임,45 %,미드,65
diamond,마트료시카입니다 #KR1,바루스,15 게임,80 %,원딜,44
diamond,오픈해본적없음 #KR0,엘리스,34 게임,53 %,정글,92
diamond,정글프로라고할뻔 #KR1,리 신,9 게임,56 %,정글,20
diamond,rnjswlscks #KR1,판테온,19 게임,68 %,탑,40
diamond,살려쥬시쿨 #KR1,아트록스,11 게임,64 %,탑,70
diamond,under the tree #KR1,흐웨이,12 게임,58 %,미드,52
diamond,우기리기리깅 #우깅깅,제라스,14 게임,50 %,탑,16
diamond,하모냠 #KR1,엘리스,48 게임,77 %,정글,125
diamond,미 네 #동그라미네,애쉬,10 게임,70 %,원딜,37
diamond,페이코 #PAYCO,흐웨이,13 게임,62 %,미드,26
diamond,볼빵빵 다람쥐 #KOR,조이,59 게임,51 %,서폿,73
diamond,인성이상한사람 #KR1,리븐,26 게임,62 %,탑,27
diamond,DPK #KR1,문도 박사,36 게임,44 %,탑,126
diamond,홀라당 #KR3,탈론,57 게임,67 %,미드,58
diamond,최 르 #KR0,나르,15 게임,73 %,탑,32
diamond,사랑의실천 #KR1,탈리야,6 게임,67 %,정글,30
diamond,베인이 부자면 리 #KR1,니코,18 게임,61 %,미드,83
diamond,내일을 향한 여정 #KR1,제이스,17 게임,71 %,탑,39
diamond,Hea hun mongi #혜훈몽,렐,23 게임,70 %,서폿,46
diamond,바텀에 텔좀 써라 #KR1,렐,50 게임,52 %,서폿,84
diamond,곰돌이 푸 #OwO,미스 포츈,37 게임,59 %,원딜,141
diamond,본인이 두려운가 #KR1,탈리야,63 게임,49 %,정글,89
diamond,JI DEANG #지 댕,노틸러스,3 게임,67 %,서폿,27
diamond,영훈달리 #KR0,니달리,31 게임,45 %,정글,57
diamond,도리개 #7704,오로라,15 게임,40 %,미드,69
diamond,박토미 #KR1,세트,11 게임,64 %,탑,37
diamond,오마이호종유충 #짐승남호종,제리,6 게임,33 %,원딜,42
diamond,IllIlillIllill2 #KR1,코그모,44 게임,59 %,원딜,92
diamond,T1 Keria #422,레오나,16 게임,50 %,서폿,44
diamond,겨 울 #0829,제이스,25 게임,68 %,미드,41
diamond,echo QAQ #9099,엘리스,26 게임,73 %,정글,26
diamond,우리정글이엄마가있을리가없어 #0304,유미,25 게임,76 %,서폿,25
diamond,불청객2 #KR1,리 신,5 게임,60 %,정글,20
diamond,ABCDE #0615,아지르,44 게임,75 %,탑,129
diamond,복 이 #BOK2,카르마,9 게임,78 %,정글,18
diamond,애 환 #KR1,미스 포츈,11 게임,55 %,원딜,39
diamond,김태환 #tany,애니비아,72 게임,50 %,미드,54
diamond,언성 언성을 높이지마라 #KR99,카이사,51 게임,53 %,원딜,153
diamond,love me like #0105,리 신,24 게임,67 %,정글,68
diamond,T1 Faker #mid48,사일러스,46 게임,48 %,미드,144
diamond,Your own shield #KR2,브라움,10 게임,70 %,서폿,61
diamond,베베 목줄 채워줘 #ฅΟωΟฅ,비에고,10 게임,40 %,정글,41
diamond,Faker #G102,카이사,5 게임,40 %,원딜,28
diamond,SON #GOAT1,이즈리얼,22 게임,23 %,원딜,89
diamond,나는감자귀신 #alpha,징크스,18 게임,61 %,원딜,66
diamond,KJIJI #KR1,카사딘,19 게임,58 %,미드,36
diamond,Hakuna Matata #mute,리 신,29 게임,48 %,정글,73
diamond,박투신 #KR1,제이스,4 게임,25 %,탑,33
diamond,박 고집 #연습계정정,흐웨이,54 게임,44 %,미드,92
diamond,웃으면서살자 #KR0,미스 포츈,18 게임,39 %,원딜,44
diamond,난세상에굴복했다 #KR1,쉔,29 게임,66 %,탑,29
diamond,FLIRT #KR2,이렐리아,36 게임,53 %,탑,86
diamond,20250111시즌초마스터영정 #영정풀어라,라칸,50 게임,44 %,서폿,139
diamond,플로리다주는 #987,라칸,50 게임,44 %,서폿,139
diamond,강주연 #KR1,라칸,50 게임,44 %,서폿,139
diamond,냥 냥 #KR1,애쉬,55 게임,40 %,원딜,207
diamond,Some1likeU #KR1,카르마,15 게임,67 %,서폿,32
diamond,오 공 #모스트1,오공,110 게임,55 %,탑,115
diamond,unnatural #7209,아트록스,16 게임,50 %,탑,82
diamond,와앙 캐리 #KR1,이즈리얼,12 게임,67 %,원딜,41
diamond,보이면 무는 개 #KR1,워윅,41 게임,68 %,탑,55
diamond,채윤석 #KR1,초가스,28 게임,61 %,서폿,28
diamond,하 치 #와 레,스카너,36 게임,42 %,정글,130
diamond,방 코 #KR1,니코,67 게임,49 %,미드,67
diamond,죽기장인 #КR2,코르키,8 게임,63 %,원딜,38
diamond,눅눅한쿠쿠다스 #쿠쿠다스,바루스,23 게임,52 %,원딜,129
diamond,CHXD #CHXP,나르,20 게임,60 %,탑,38
diamond,Vinter #222,이즈리얼,85 게임,48 %,원딜,298
diamond,겸손한 위치 #KR1,바루스,12 게임,67 %,원딜,38
diamond,레 렐 #레 렐,바루스,12 게임,67 %,서폿,215
diamond,zhongguizhongju1 #noob,케이틀린,10 게임,60 %,원딜,19
diamond,춘천원빈 #KR3,코르키,65 게임,45 %,원딜,88
diamond,챠리메라 #0715,룰루,53 게임,53 %,서폿,75
diamond,분명 이쯤에는 #2000,유미,28 게임,54 %,서폿,102
diamond,퇴 물 #0298,스카너,9 게임,78 %,정글,36
diamond,Whatever #ouo,카시오페아,10 게임,80 %,미드,36
diamond,관평동피바람 #KR1,벨베스,5 게임,80 %,정글,32
diamond,이나예 #KR1,케이틀린,25 게임,48 %,원딜,118
diamond,친추주세요3 #KR1,마오카이,31 게임,58 %,탑,55
diamond,헤벌레 #KR1,케이틀린,21 게임,62 %,원딜,36
diamond,시즌종료마스터 #KR1,멜,9 게임,78 %,미드,77
diamond,야리냥 #KR1,피오라,15 게임,80 %,정글,49
diamond,다이아수문장승훈 #KR1,판테온,113 게임,52 %,탑,150
diamond,冰天雪地 #lulu,아우렐리온 솔,34 게임,53 %,미드,39
diamond,헐레벌떡벌떡 #둥절둥절,렐,10 게임,70 %,서폿,33
diamond,자우림 #NO1,사일러스,25 게임,48 %,미드,50
diamond,Douyin Easywin #4444,블리츠크랭크,92 게임,51 %,서폿,132
diamond,스 리 #됴 니,유미,25 게임,60 %,서폿,25
diamond,땅굴팀 탑 #KR2,피오라,15 게임,67 %,탑,22
diamond,정수리로한다 #KR1,암베사,136 게임,56 %,미드,171
diamond,마라샹궈숙주추가 #1209,제리,30 게임,47 %,원딜,114
diamond,가람공주님 #KR1,벨코즈,75 게임,60 %,미드,71
diamond,휘건우 #EGG,멜,32 게임,59 %,미드,148
diamond,롤로노아 김동현 #KR1,피오라,178 게임,50 %,탑,208
diamond,Zhitao #QAQ,엘리스,14 게임,50 %,서폿,23
diamond,yinii #666,카서스,20 게임,75 %,정글,34
diamond,스몰더하면처박음 #고oa스더,엘리스,8 게임,63 %,정글,47
diamond,이로하 #486,시비르,7 게임,71 %,원딜,17
diamond,향수 사고 싶다 #사주세요,요릭,9 게임,56 %,탑,42
diamond,IlIIIlllIlIlllII #IllIl,리 신,6 게임,33 %,정글,39
diamond,로미스타 #KR1,알리스타,35 게임,57 %,서폿,35
diamond,Jongchaeng #KR1,진,10 게임,60 %,원딜,29
diamond,New World #KR1,카서스,94 게임,64 %,정글,118
diamond,토실이파파 #KR1,녹턴,121 게임,58 %,정글,182
diamond,다식은 호빵맨 #잼아저씨,그웬,33 게임,58 %,탑,95
diamond,검단동단검 #1207,카타리나,29 게임,69 %,미드,31
diamond,Megatron #高低不就,킨드레드,48 게임,48 %,정글,135
diamond,죽은 집어서 가 #2000,니코,54 게임,63 %,서폿,85
diamond,망고바나나I #KR1,제이스,25 게임,48 %,탑,59
diamond,무적해병 이상민 #1285,이렐리아,28 게임,54 %,탑,76
diamond,팀들화나게하는법연구 #3174,갈리오,10 게임,80 %,서폿,70
diamond,착취주문검치명타 #KR1,갱플랭크,21 게임,57 %,탑,24
diamond,cjno #2002,비에고,21 게임,33 %,정글,75
diamond,Atlantis #1270,블라디미르,38 게임,45 %,탑,36
diamond,정상길 #KR1,리 신,7 게임,29 %,정글,35
diamond,wozaoyichenlun #CN1,흐웨이,24 게임,67 %,미드,71
diamond,purple #nobil,요네,31 게임,48 %,미드,102
diamond,karoit #KR1,니코,11 게임,45 %,서폿,64
diamond,Bugwon #부구언,이즈리얼,11 게임,55 %,원딜,45
diamond,한세희 #0312,트런들,32 게임,47 %,탑,41
diamond,후 니 #KR1,코르키,9 게임,89 %,원딜,27
diamond,2001 #kbj,제이스,37 게임,59 %,탑,92
diamond,how lovely #Jhin,진,35 게임,57 %,원딜,37
diamond,조선제일몸종 #싱크홀,아펠리오스,9 게임,67 %,원딜,42
diamond,존 윅 #flash,그라가스,9 게임,78 %,서폿,31
diamond,롤스타 서폿 #9800,쓰레쉬,24 게임,67 %,서폿,26
diamond,꿈깨이놈아 #KR1,티모,39 게임,69 %,탑,40
diamond,FeeL #KR1,쉔,98 게임,48 %,탑,119
diamond,광 기 #악 몽,카타리나,22 게임,64 %,미드,27
diamond,니아 텟페린 #천원돌파,문도 박사,30 게임,60 %,탑,32
diamond,서러워도잘살아 #KR1,리 신,14 게임,50 %,정글,92
diamond,德莱厄斯 #GGG,야스오,120 게임,57 %,미드,80
diamond,listen to me #KR1,이즈리얼,7 게임,43 %,서폿,49
diamond,그차리에 그시칸에 #0404,요네,8 게임,50 %,미드,21
diamond,shisha #RED,요네,8 게임,50 %,원딜,49
diamond,FlexiBiliTy #1024,트리스타나,16 게임,63 %,원딜,49
diamond,오른왕 이제용 #KR1,마오카이,14 게임,36 %,탑,53
diamond,Inha ex machlna #0102,제이스,11 게임,55 %,탑,44
diamond,후추단추 #KR1,카직스,10 게임,90 %,정글,16
diamond,못해서미안합니다 #0303,럼블,17 게임,53 %,미드,34
diamond,학살머신 #KR1,제드,243 게임,51 %,미드,266
diamond,김민제 #123,카밀,29 게임,41 %,탑,59
diamond,님들블루좀 #KR1,말자하,16 게임,50 %,미드,27
diamond,싱마니 #KR1,아지르,36 게임,50 %,미드,151
diamond,뱃살팡팡 #KR01,자크,32 게임,75 %,미드,34
diamond,Mid #a0324,사일러스,15 게임,53 %,미드,47
diamond,Hadele #7186,럼블,33 게임,58 %,탑,102
diamond,연서팡 #모연서,그레이브즈,110 게임,61 %,정글,116
diamond,이렐야스오노벤 #KR1,이렐리아,19 게임,42 %,탑,64
diamond,DWG 대입법 #KR1,비에고,23 게임,70 %,정글,36
diamond,포로먹는사람 #6974,피오라,40 게임,63 %,탑,194
diamond,서당개 #KR1,오리아나,8 게임,75 %,미드,35
diamond,금빛섬광미나토 #KR77,아리,35 게임,49 %,미드,73
diamond,테이저건지이익 #KR1,제이스,24 게임,42 %,탑,113
diamond,a huinin #i9i9,자이라,9 게임,56 %,정글,36
diamond,llIIlIllIIlllIIl #lIIlI,흐웨이,27 게임,59 %,미드,80
diamond,선취킬 #KR1,리 신,6 게임,83 %,정글,15
diamond,별의 시작 #KR1,피오라,28 게임,71 %,원딜,42
diamond,킹카가될뻔한리신 #KR1,리 신,27 게임,56 %,정글,53
diamond,냠 쿰 #냠냠쿰척,룰루,18 게임,83 %,서폿,18
diamond,수현장 #KR1,갱플랭크,30 게임,67 %,탑,46
diamond,미 니 #1102,자야,28 게임,61 %,원딜,30
diamond,Selena Gomez #Fans,미스 포츈,8 게임,75 %,원딜,56
diamond,롤로노아 오창범 #KR1,렐,43 게임,51 %,서폿,60
diamond,아쉬운거죠 #KR2,칼리스타,7 게임,71 %,서폿,22
diamond,날아라 용딘 #KR2,쓰레쉬,20 게임,65 %,서폿,30
diamond,Public Interest #KR1,레오나,22 게임,64 %,서폿,46
diamond,낭만서포터 #KR34,알리스타,91 게임,48 %,서폿,192
diamond,금마갈 사나이 #곧 감,자크,53 게임,62 %,정글,110
diamond,zxcopiasdlkj #KR1,제드,19 게임,58 %,미드,28
diamond,떼 힝 #KR1,리 신,20 게임,55 %,정글,53
diamond,내빡겜한다햇다이 #KR1,그레이브즈,14 게임,50 %,정글,41
diamond,벨 제 #KR1,트린다미어,11 게임,64 %,탑,39
diamond,Where Canyon #KR1,리 신,17 게임,71 %,정글,42
diamond,꽃정우 #KR1,트런들,12 게임,58 %,탑,40
diamond,누누와 윌럼프 #KR102,가렌,40 게임,70 %,탑,53
diamond,アンズの花 #KR3,이즈리얼,34 게임,47 %,원딜,157
diamond,김잘생크 #KR1,아리,27 게임,63 %,미드,92
diamond,핑크 퐁당이 #KR1,유미,53 게임,55 %,서폿,60
diamond,Armin1 #KR2,리 신,19 게임,63 %,정글,45
diamond,모리아13세 #KR1,모데카이저,36 게임,61 %,탑,38
diamond,SBox #KR1,미스 포츈,13 게임,69 %,원딜,36
diamond,인생은업보 #KR1,스카너,9 게임,78 %,정글,39
diamond,동푸리아 #8421,베이가,27 게임,67 %,미드,70
diamond,Akaps ex #KR1,크산테,16 게임,69 %,탑,34
diamond,푸푸린 #안졸려zZ,미스 포츈,14 게임,57 %,원딜,68
diamond,여지니 때찌때찌 #KR1,유미,128 게임,58 %,서폿,157
diamond,멋있는미누 #KR1,렉사이,70 게임,57 %,정글,70
diamond,천살성 #0209,리 신,36 게임,44 %,정글,162
diamond,OFF THE LEASH #0114,이즈리얼,15 게임,93 %,원딜,54
diamond,뚱딴지 #승 하,탐 켄치,25 게임,56 %,서폿,77
diamond,원딜로그마갈래 #KR0,이즈리얼,17 게임,59 %,원딜,29
diamond,더 하트브레이크키드 숀마이클스 #HBK,바드,17 게임,65 %,서폿,38
diamond,거대한오크진우 #KR1,룰루,23 게임,52 %,서폿,55
diamond,sugar #87329,킨드레드,108 게임,64 %,정글,117
master,就送就送嘿嘿嘿 #0220,코르키,87 게임,61 %,원딜,164
master,마지막 기회 #90일,멜,13 게임,77 %,미드,89
master,抖音姚逸航 #职业选手,닐라,73 게임,70 %,원딜,75
master,네모네모 #0107,엘리스,22 게임,45 %,서폿,102
master,rain #jug,갈리오,93 게임,60 %,미드,106
master,젠레스존제로우 #KR1,바루스,11 게임,91 %,원딜,77
master,송하영 #je1,사일러스,19 게임,63 %,미드,151
master,Zeus10 #rudnf,암베사,18 게임,61 %,탑,87
master,다훈갓 #Bard,바드,146 게임,52 %,서폿,159
master,하루노히 #ハルノヒ,워윅,85 게임,59 %,탑,120
master,새 루 #KR2,블라디미르,109 게임,62 %,미드,114
master,박몽총 #fan,이즈리얼,54 게임,41 %,원딜,168
master,항상 너만을 위해 #KR1,미스 포츈,39 게임,56 %,원딜,160
master,문어아사랑해I #KR1,판테온,25 게임,68 %,정글,118
master,김치 정글 #김치 JG,리 신,26 게임,81 %,정글,88
master,Aragakiui #0609,이즈리얼,31 게임,71 %,원딜,95
master,완벽하고싶다0 #KR1,잭스,18 게임,67 %,탑,130
master,xiaochaibeibei #kr2,아트록스,97 게임,60 %,탑,127
master,winable #0802,트위치,166 게임,50 %,원딜,248
master,웅무무 #KR1,자르반 4세,221 게임,53 %,정글,222
master,2 Kcal #KR1,르블랑,52 게임,46 %,미드,197
master,the one #PRO,코르키,24 게임,79 %,미드,88
master,苦盡甘來 #2006,카시오페아,149 게임,56 %,탑,141
master,롤스타팀 꾸릉이 #2025,리 신,21 게임,43 %,정글,104
master,얼음 연꽃 #KR1,칼리스타,19 게임,74 %,원딜,136
master,zl존king진완X #KR1,클레드,157 게임,52 %,탑,156
master,LESTINY #부 캐,쓰레쉬,202 게임,56 %,서폿,249
master,yujitop #余悸top,크산테,48 게임,75 %,탑,104
master,윌리엄 #9919,오로라,39 게임,56 %,미드,142
master,동하링 #KR1,제이스,48 게임,67 %,탑,216
master,soop 라쿤99 #치지직,자이라,62 게임,56 %,정글,91
master,Haru #0603,리 신,19 게임,58 %,정글,89
master,초이성호 #КR1,크산테,38 게임,50 %,미드,141
master,도지혁 #2006,비에고,32 게임,66 %,정글,99
master,Call of Silence #Erha,라칸,22 게임,55 %,서폿,84
master,수명단축게임 #1111,비에고,32 게임,63 %,정글,155
master,find myself #fms,아칼리,95 게임,55 %,미드,156
master,의문의 이렐리아 유저 #KR2,이렐리아,204 게임,53 %,탑,274
master,abcabcbac #2025,아펠리오스,57 게임,65 %,원딜,272
master,렝가명인 #KR1,렝가,119 게임,57 %,탑,114
master,ouen #ymk,렐,76 게임,58 %,서폿,276
master,200523 #1108,크산테,82 게임,56 %,탑,168
master,T1 Bin #LCK,갈리오,27 게임,63 %,미드,133
master,보법의 달인 이현 #이현2,잭스,104 게임,60 %,탑,196
master,Miraitowa #zxs,비에고,51 게임,63 %,정글,200
master,렛츠고 박석현 #123,빅토르,20 게임,70 %,원딜,75
master,롤스타팀 미드 #0819,오로라,16 게임,63 %,미드,94
master,핑안보면바로박음 #KR2,헤카림,134 게임,61 %,정글,137
master,BULL #kr11,이즈리얼,55 게임,58 %,원딜,101
master,faker fans #14777,아지르,122 게임,58 %,미드,100
master,Flow #0116,칼리스타,20 게임,70 %,원딜,57
master,Kirby #kr12,미스 포츈,23 게임,39 %,원딜,156
master,zuo qing #12345,리 신,34 게임,53 %,정글,147
master,생각이 없다 #111,사일러스,27 게임,56 %,미드,125
master,noseniorzone #KR2,이즈리얼,28 게임,43 %,원딜,136
master,누가이기나해보자 #0822,사일러스,49 게임,65 %,미드,107
master,bobby #KR2,피오라,145 게임,57 %,탑,154
master,ヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲ #1313,갈리오,175 게임,55 %,미드,182
master,대황칰 #최강한화,레오나,30 게임,57 %,서폿,137
master,우리팀 하위팅 #KR1,코르키,38 게임,58 %,원딜,129
master,Heart #KR1,스몰더,26 게임,46 %,미드,201
master,하리하리봉 #끄리시,렐,32 게임,59 %,서폿,132
master,설인석 #2740,다리우스,70 게임,57 %,탑,105
master,梦想家 #ouo,리 신,15 게임,73 %,정글,77
master,싱 글 #1004,엘리스,18 게임,67 %,서폿,78
master,서구 한소희 #KR1,뽀삐,84 게임,63 %,탑,174
master,midqvq9 #KR11,빅토르,19 게임,47 %,미드,97
master,탑야스오한테발려서화나셨나요ヲヲ #KR123,야스오,119 게임,51 %,탑,80
master,조관우급 늪 설치 #KR0,카시오페아,91 게임,60 %,원딜,49
master,우즈이 텐겐 #KR123,스카너,39 게임,64 %,정글,158
master,치피공 #KR1,신지드,198 게임,63 %,탑,226
master,bom #jojo1,암베사,13 게임,38 %,탑,107
master,zxcvasdf #KR11,암베사,36 게임,58 %,탑,141
master,뇌가 없다 #123,리 신,27 게임,63 %,정글,51
master,Vancouver #0602,이즈리얼,32 게임,50 %,원딜,137
master,buxiang houhui #2025,사일러스,62 게임,50 %,미드,91
master,I SHOULD #렛츠고,자이라,11 게임,55 %,서폿,133
master,토끼다리걸기 #123,마오카이,39 게임,62 %,서폿,118
master,레이셜디펜스 #KR1,제라스,62 게임,66 %,미드,118
master,요정너구리 #5959,룰루,56 게임,55 %,서폿,149
master,Baut #123,엘리스,18 게임,72 %,서폿,94
master,선 우 #꼴통양아치,비에고,80 게임,56 %,정글,182
master,갓 독 #dog,나피리,166 게임,51 %,미드,149
master,나자신을사랑 #2040,제이스,64 게임,52 %,탑,191
master,神 避 #奎桑提,크산테,125 게임,59 %,탑,146
master,스타 도구 #서폿강사,파이크,17 게임,82 %,서폿,108
